0:   (1+0j)
717:   (0.9865041058956568+0j)
718:   (0.9818645301892871+0j)
719:   (0.9796191917905814+0j)
720:   (0.9775595632487716+0j)
721:   (0.996887512397886+0j)
722:   (0.994663074472401+0j)
723:   (0.9878151165057282+0j)
724:   (0.9810088133577403+0j)
725:   (0.9742471617515257+0j)
726:   (0.9976389546002117+0j)
727:   (0.9938536255863063+0j)
728:   (0.9929296571912678+0j)
729:   (0.9915607777103926+0j)
730:   (0.9893837560678731+0j)
731:   (0.9978054200666464+0j)
732:   (0.9930527689354167+0j)
733:   (0.9871411376108293+0j)
734:   (0.9854496596846247+0j)
735:   (0.9795852097995338+0j)
736:   (0.9985872095072085+0j)
737:   (0.994332936637191+0j)
738:   (0.993323597537313+0j)
739:   (0.9928945710449698+0j)
740:   (0.9940297907716705+0j)
741:   (0.9978964359889116+0j)
742:   (0.9950581243132689+0j)
743:   (0.9907075999713152+0j)
744:   (0.9898554483476708+0j)
745:   (0.9865243370594363+0j)
746:   (0.9919467018696021+0j)
747:   (0.9840895293651933+0j)
748:   (0.9818189193708844+0j)
749:   (0.9732333639345266+0j)
750:   (0.9697332048063558+0j)
751:   (0.9940517269940151+0j)
752:   (0.9856498194636018+0j)
753:   (0.9828511316072538+0j)
754:   (0.9788293041243187+0j)
755:   (0.9783657161942065+0j)
756:   (0.9944028275256565+0j)
757:   (0.9936983221237539+0j)
758:   (0.9877748713326153+0j)
759:   (0.9827670791868262+0j)
760:   (0.9762855106630709+0j)
761:   (0.9951237810002844+0j)
762:   (0.9952825152987393+0j)
763:   (0.993123688122465+0j)
764:   (0.9941673269389765+0j)
765:   (0.9856945865851479+0j)
766:   (0.9979288456381981+0j)
767:   (0.9952787699762837+0j)
768:   (0.9906651520138876+0j)
769:   (0.9855863019994385+0j)
770:   (0.9822445219698261+0j)
771:   (0.9944450268589135+0j)
772:   (0.9909320861775751+0j)
773:   (0.9871444485138634+0j)
774:   (0.9858919239790822+0j)
775:   (0.976732652529985+0j)
776:   (0.9944226847816662+0j)
777:   (0.9905496209814243+0j)
778:   (0.9881770422685636+0j)
779:   (0.9833260057187385+0j)
780:   (0.9830760313304866+0j)
781:   (0.9967120420371005+0j)
782:   (0.9856233799815183+0j)
783:   (0.9827476329396828+0j)
784:   (0.9666127368505913+0j)
785:   (0.9608821975977031+0j)
786:   (0.9966113631777702+0j)
787:   (0.9911217936795645+0j)
788:   (0.9865643657639556+0j)
789:   (0.9827368780533146+0j)
790:   (0.9809205276080485+0j)
791:   (0.9960685498885931+0j)
792:   (0.9967426634668319+0j)
793:   (0.991973784862951+0j)
794:   (0.9869380947652686+0j)
795:   (0.986096105360659+0j)
796:   (0.9950151785983397+0j)
797:   (0.9921184409391568+0j)
798:   (0.9839534571159289+0j)
799:   (0.9761136614171008+0j)
800:   (0.9754527717388701+0j)
801:   (0.996870347287049+0j)
802:   (0.994849918966881+0j)
803:   (0.9911632719107781+0j)
804:   (0.9898760404645264+0j)
805:   (0.9862216047579115+0j)
806:   (0.9918076381311958+0j)
807:   (0.9876079201745869+0j)
808:   (0.9808620490538207+0j)
809:   (0.9797959049019992+0j)
810:   (0.9779545189856629+0j)
811:   (0.9940117224961672+0j)
812:   (0.9922284005772027+0j)
813:   (0.9905224105583728+0j)
814:   (0.9784974241919105+0j)
815:   (0.9728903684851402+0j)
816:   (0.9986760185387845+0j)
817:   (0.9945626783422342+0j)
818:   (0.9878973668926055+0j)
819:   (0.9846030497177974+0j)
820:   (0.9790803705990861+0j)
821:   (0.9922844465688442+0j)
822:   (0.9874171925123721+0j)
823:   (0.9889666936184673+0j)
824:   (0.9835284189328962+0j)
825:   (0.980053007548215+0j)
826:   (0.996466989040747+0j)
827:   (0.9921172048840081+0j)
