0:   (1+0j)
791:   (0.9989818865106395+0j)
792:   (0.9983914794343757+0j)
793:   (0.9982975034679109+0j)
794:   (0.9975051968523626+0j)
795:   (0.9964288078607344+0j)
796:   (0.9958508196664929+0j)
797:   (0.99539895575749+0j)
798:   (0.9950183636130452+0j)
799:   (0.9942674137132465+0j)
800:   (0.9936376411078883+0j)
801:   (0.9988342754797309+0j)
802:   (0.9983135331611616+0j)
803:   (0.9969015204733556+0j)
804:   (0.9970482453323631+0j)
805:   (0.996743882376595+0j)
806:   (0.9950494903311095+0j)
807:   (0.9949063973905368+0j)
808:   (0.9946198953374662+0j)
809:   (0.9941665092533333+0j)
810:   (0.9936815033438166+0j)
811:   (0.9989641453629059+0j)
812:   (0.9975040044523518+0j)
813:   (0.9971473848870783+0j)
814:   (0.9964442459332935+0j)
815:   (0.9950057997430887+0j)
816:   (0.9949900972751738+0j)
817:   (0.993768870648428+0j)
818:   (0.9928312777059058+0j)
819:   (0.9922749263526291+0j)
820:   (0.991700962480043+0j)
821:   (0.999176328983502+0j)
822:   (0.9978705830349452+0j)
823:   (0.9971209931203974+0j)
824:   (0.9962842130484737+0j)
825:   (0.9957866554720857+0j)
826:   (0.994929671519653+0j)
